Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death,Forecasted,Forecasted_high,Forecasted_low,Confirmed_Cases_Daywise,Active_Cases_Daywise,Forecasted_Cases_Daywise,Forecasted_Cases_high_Daywise,Forecasted_Cases_low_Daywise,Forecasted_active,Forecasted_active_high,Forecasted_active_low,Forecasted_Active_Cases_Daywise,Forecasted_Active_Cases_high_Daywise,Forecasted_Active_Cases_low_Daywise
27-03-2020,Andaman and Nicobar Islands,6,6,0.0,0,,,,,,,,,,,,,,
28-03-2020,Andaman and Nicobar Islands,9,9,0.0,0,,,,3,3,,,,,,,,,
29-03-2020,Andaman and Nicobar Islands,9,9,0.0,0,,,,0,0,,,,,,,,,
30-03-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,1,1,,,,,,,,,
31-03-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
01-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
02-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
03-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
04-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
05-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
06-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
07-04-2020,Andaman and Nicobar Islands,10,10,0.0,0,,,,0,0,,,,,,,,,
08-04-2020,Andaman and Nicobar Islands,11,11,0.0,0,,,,1,1,,,,,,,,,
09-04-2020,Andaman and Nicobar Islands,11,11,0.0,0,,,,0,0,,,,,,,,,
10-04-2020,Andaman and Nicobar Islands,11,11,0.0,0,,,,0,0,,,,,,,,,
11-04-2020,Andaman and Nicobar Islands,11,1,10.0,0,,,,0,0,,,,,,,,,
12-04-2020,Andaman and Nicobar Islands,11,1,10.0,0,,,,0,0,,,,,,,,,
13-04-2020,Andaman and Nicobar Islands,11,1,10.0,0,,,,0,0,,,,,,,,,
14-04-2020,Andaman and Nicobar Islands,11,1,10.0,0,,,,0,0,,,,,,,,,
15-04-2020,Andaman and Nicobar Islands,11,1,10.0,0,,,,0,0,,,,,,,,,
16-04-2020,Andaman and Nicobar Islands,11,1,10.0,0,,,,0,0,,,,,,,,,
17-04-2020,Andaman and Nicobar Islands,12,1,11.0,0,,,,1,0,,,,,,,,,
18-04-2020,Andaman and Nicobar Islands,14,3,11.0,0,,,,2,2,,,,,,,,,
19-04-2020,Andaman and Nicobar Islands,15,4,11.0,0,,,,1,1,,,,,,,,,
20-04-2020,Andaman and Nicobar Islands,16,5,11.0,0,,,,1,1,,,,,,,,,
